customer_id,customer_segment_id,full_name,age,country,journey_stage,total_aum,profile_json,created_time
39886fdf-0055-c12e-3217-8d24446506e0,2cd78b31-3fd6-9d02-5e9c-9bd7ab67ea95,Chen Hao,36,CN,activation,7876582.55,"{""kyc_status"": ""PENDING_REVIEW"", ""risk_profile"": ""LOW"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""CityHospital"", ""industry"": ""HEALTHCARE""}, ""contact_prefs"": {""email"": true, ""sms"": true, ""language"": ""zh-CN""}, ""tags"": [""VIP"", ""MASS_AFFLUENT""], ""custom_fields"": {""referral_source"": ""BRANCH"", ""onboarding_date"": ""2024-01-02""}, ""segment_context"": {""segment_name"": ""high_net_worth"", ""segment_tier"": ""TIER_1"", ""risk_band"": ""LOW""}}",2026-03-10T15:04:00+08:00
54819c25-e24f-7fb9-0e7c-6f1b069a33e4,5c3e8f16-1eee-2bc8-e0a7-5b6de3fc5873,Yang Lei,49,HK,onboarding,305093.48,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""LOW"", ""occupation"": {""type"": ""SELF_EMPLOYED"", ""employer"": ""CityHospital"", ""industry"": ""SOFTWARE""}, ""contact_prefs"": {""email"": true, ""sms"": false, ""language"": ""zh-CN""}, ""tags"": [""DIGITAL_ONLY"", ""MASS_AFFLUENT""], ""custom_fields"": {""referral_source"": ""WEB_AD"", ""onboarding_date"": ""2024-01-03""}, ""segment_context"": {""segment_name"": ""small_business_owner"", ""segment_tier"": ""TIER_3"", ""risk_band"": ""LOW""}}",2026-01-22T10:02:00+08:00
6affaf49-c261-7942-5fd8-fe74e156e0a8,f1307c40-350c-76c4-53ca-58b6ccb21286,Wang Fang,61,SG,activation,128698.34,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""MODERATE"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""TechCorp Inc"", ""industry"": ""FINANCE""}, ""contact_prefs"": {""email"": true, ""sms"": true, ""language"": ""en-US""}, ""tags"": [""DIGITAL_ONLY"", ""ESG_INVESTOR""], ""custom_fields"": {""referral_source"": ""WEB_AD"", ""onboarding_date"": ""2024-01-04""}, ""segment_context"": {""segment_name"": ""emerging_affluent"", ""segment_tier"": ""TIER_3"", ""risk_band"": ""MEDIUM""}}",2026-02-20T12:35:00+08:00
7fa6872a-1afa-07cd-e1af-dad506a97831,b9d84cec-6be1-d006-e312-12f3c56ac6f7,Liu Jie,31,US,retention,665917.79,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""HIGH"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""MetroBank"", ""industry"": ""HEALTHCARE""}, ""contact_prefs"": {""email"": false, ""sms"": false, ""language"": ""en-US""}, ""tags"": [""DIGITAL_ONLY"", ""ESG_INVESTOR""], ""custom_fields"": {""referral_source"": ""WEB_AD"", ""onboarding_date"": ""2024-01-05""}, ""segment_context"": {""segment_name"": ""small_business_owner"", ""segment_tier"": ""TIER_3"", ""risk_band"": ""HIGH""}}",2026-01-20T17:52:00+08:00
a8c677ff-59e4-054e-bcca-d161725ab7bd,b640494e-5c7d-45bb-2db0-78f1a62e2c44,Yang Hao,35,CN,growth,2434847.08,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""MODERATE"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""TechCorp Inc"", ""industry"": ""MANUFACTURING""}, ""contact_prefs"": {""email"": true, ""sms"": false, ""language"": ""zh-CN""}, ""tags"": [""VIP"", ""DIGITAL_ONLY""], ""custom_fields"": {""referral_source"": ""BRANCH"", ""onboarding_date"": ""2024-01-06""}, ""segment_context"": {""segment_name"": ""high_net_worth"", ""segment_tier"": ""TIER_2"", ""risk_band"": ""MEDIUM""}}",2026-02-03T11:18:00+08:00
8d84129a-5ca4-9c1a-b2e6-0b32b260c7e1,a82aff44-1e2a-91fc-387c-dd62bc6adf93,Yang Jie,84,CN,growth,1309248.57,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""HIGH"", ""occupation"": {""type"": ""RETIRED"", ""employer"": ""MetroBank"", ""industry"": ""FINANCE""}, ""contact_prefs"": {""email"": true, ""sms"": false, ""language"": ""zh-CN""}, ""tags"": [""DIGITAL_ONLY"", ""VIP""], ""custom_fields"": {""referral_source"": ""PARTNER"", ""onboarding_date"": ""2024-01-07""}, ""segment_context"": {""segment_name"": ""high_net_worth"", ""segment_tier"": ""TIER_2"", ""risk_band"": ""HIGH""}}",2026-03-21T14:03:00+08:00
7b86fc12-b2eb-6583-bf71-4f07dbd5fa33,d0713078-c0f0-0dde-81a5-f8275bf93dd2,Liu Wei,34,SG,retention,65378.33,"{""kyc_status"": ""PENDING_REVIEW"", ""risk_profile"": ""HIGH"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""GlobalTrade Ltd"", ""industry"": ""HEALTHCARE""}, ""contact_prefs"": {""email"": true, ""sms"": true, ""language"": ""en-US""}, ""tags"": [""MASS_AFFLUENT"", ""VIP""], ""custom_fields"": {""referral_source"": ""BRANCH"", ""onboarding_date"": ""2024-01-08""}, ""segment_context"": {""segment_name"": ""mass_affluent"", ""segment_tier"": ""TIER_4"", ""risk_band"": ""HIGH""}}",2026-03-23T17:10:00+08:00
05827542-52c0-b445-2b37-a64878627a09,4926c756-a8b6-563a-98be-8aaa73c705ec,Wang Hao,25,CN,retention,717049.11,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""HIGH"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""CityHospital"", ""industry"": ""MANUFACTURING""}, ""contact_prefs"": {""email"": true, ""sms"": true, ""language"": ""zh-CN""}, ""tags"": [""ESG_INVESTOR"", ""VIP""], ""custom_fields"": {""referral_source"": ""WEB_AD"", ""onboarding_date"": ""2024-01-09""}, ""segment_context"": {""segment_name"": ""mass_affluent"", ""segment_tier"": ""TIER_3"", ""risk_band"": ""HIGH""}}",2026-01-19T09:05:00+08:00
bccc348a-f24d-b5cb-bc50-65c4124b7a7e,cede9f51-826d-76fe-6189-4620bfb6292f,Huang Jie,69,CN,activation,3659873.18,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""HIGH"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""MetroBank"", ""industry"": ""MANUFACTURING""}, ""contact_prefs"": {""email"": true, ""sms"": false, ""language"": ""zh-CN""}, ""tags"": [""VIP"", ""ESG_INVESTOR""], ""custom_fields"": {""referral_source"": ""PARTNER"", ""onboarding_date"": ""2024-01-10""}, ""segment_context"": {""segment_name"": ""high_net_worth"", ""segment_tier"": ""TIER_3"", ""risk_band"": ""HIGH""}}",2026-01-09T15:16:00+08:00
cf9b5f97-0a36-43fc-6ce7-187999fffab5,e1b6dc23-1df6-d40d-b211-2a699e458077,Yang Na,22,CN,retention,143795.08,"{""kyc_status"": ""VERIFIED"", ""risk_profile"": ""HIGH"", ""occupation"": {""type"": ""EMPLOYED"", ""employer"": ""CityHospital"", ""industry"": ""SOFTWARE""}, ""contact_prefs"": {""email"": true, ""sms"": false, ""language"": ""zh-CN""}, ""tags"": [""VIP"", ""MASS_AFFLUENT""], ""custom_fields"": {""referral_source"": ""BRANCH"", ""onboarding_date"": ""2024-01-11""}, ""segment_context"": {""segment_name"": ""mass_affluent"", ""segment_tier"": ""TIER_3"", ""risk_band"": ""HIGH""}}",2026-02-20T18:17:00+08:00
